##v1.0##
FDN,SUBTYPE,PATHNAME,DOMAIN,DOMAINCORREL,MNEMONIC,INDICATOR,FORMULA,COMMITMENTVALUE,COMMITMENTTHRESHOLD,EXCEPTIONTHRESHOLD,INDICATORTHRESHOLDB,INDICATORTHRESHOLDT3,MEASUREPROTOCOL,COS,ORIGINSITENAME,ORIGINFDN,ORIGINIP,DESTINATIONSITENAME,ENDFDN,TARGETIP,CORRELATIONBACKUPTYPE,VPN,NETWORKFDN,ORIGIN,ADMINADDRESS,MANUFACTURER
DI:ATAC.ZI:X.LIRT:ATOS-AUBER-3,LIRT,,ATAC,,Atacv-atos-auber-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:ATAC.ZI:X.RTONE:ATOS-AUBER,10.45.74.89,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.74.89,one-access
DI:ATAC.ZI:X.LIRT:ATOS-CROISSY-1,LIRT,,ATAC,,Atacv-atos-croissy-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:ATAC.ZI:X.RTONE:ATOS-CROISSY,10.48.130.237,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.48.130.237,one-access
DI:ATAC.ZI:X.LIRT:ATOS-CROISSY-2,LIRT,,ATAC,,Atacv-atos-croissy-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:ATAC.ZI:X.RTONE:ATOS-CROISSY,10.48.130.237,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.48.130.237,one-access
DI:ATAC.ZI:X.LIRT:ATOS-CROISSY-3,LIRT,,ATAC,,Atacv-atos-croissy-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:ATAC.ZI:X.RTONE:ATOS-CROISSY,10.48.130.237,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.48.130.237,one-access
DI:ATAC.ZI:X.LIRT:BPROCESS-1,LIRT,,ATAC,,Atacv-bprocess-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:ATAC.ZI:X.RTONE:BPROCESS,10.45.74.180,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.74.180,one-access
DI:ATAC.ZI:X.LIRT:BPROCESS-2,LIRT,,ATAC,,Atacv-bprocess-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:ATAC.ZI:X.RTONE:BPROCESS,10.45.74.180,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.74.180,one-access
DI:ATAC.ZI:X.LIRT:BPROCESS-3,LIRT,,ATAC,,Atacv-bprocess-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:ATAC.ZI:X.RTONE:BPROCESS,10.45.74.180,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.74.180,one-access
DI:ATAC.ZI:X.LIRT:CENTRALE-1,LIRT,,ATAC,,atacv-centrale-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:ATAC.ZI:X.RTCIS:CENTRALE,10.45.17.240,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.45.17.240,cisco
DI:ATAC.ZI:X.LIRT:CENTRALE-2,LIRT,,ATAC,,atacv-centrale-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:ATAC.ZI:X.RTCIS:CENTRALE,10.45.17.240,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.45.17.240,cisco
DI:ATAC.ZI:X.LIRT:CENTRALE-3,LIRT,,ATAC,,atacv-centrale-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:ATAC.ZI:X.RTCIS:CENTRALE,10.45.17.240,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.45.17.240,cisco
DI:ATAC.ZI:X.LIRT:CHILLYBNEW-1,LIRT,,ATAC,ATAC,Atacv-chillybnew-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:ATAC.ZI:X.RTONE:CHILLYBNEW,10.42.57.35,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.57.35,one-access
DI:ATAC.ZI:X.LIRT:CHILLYBNEW-2,LIRT,,ATAC,ATAC,Atacv-chillybnew-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:ATAC.ZI:X.RTONE:CHILLYBNEW,10.42.57.35,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.57.35,one-access
DI:ATAC.ZI:X.LIRT:CHILLYBNEW-3,LIRT,,ATAC,ATAC,Atacv-chillybnew-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:ATAC.ZI:X.RTONE:CHILLYBNEW,10.42.57.35,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.57.35,one-access
DI:ATAC.ZI:X.LIRT:CHILLYBNEW-4,LIRT,,ATAC,ATAC,Atacv-chillybnew-Jitter64-RT,RTD,,60,,,90,30000,saa-jiti,184,,DI:ATAC.ZI:X.RTONE:CHILLYBNEW,10.42.57.35,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.57.35,one-access
DI:ATAC.ZI:X.LIRT:CHILLYBNEW-5,LIRT,,ATAC,ATAC,Atacv-chillybnew-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jiti,136,,DI:ATAC.ZI:X.RTONE:CHILLYBNEW,10.42.57.35,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.57.35,one-access
DI:ATAC.ZI:X.LIRT:CHILLYNEW-1,LIRT,,ATAC,ATAC,Atacv-chillynew-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:ATAC.ZI:X.RTONE:CHILLYNEW,10.42.242.52,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.242.52,one-access
DI:ATAC.ZI:X.LIRT:CHILLYNEW-2,LIRT,,ATAC,ATAC,Atacv-chillynew-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:ATAC.ZI:X.RTONE:CHILLYNEW,10.42.242.52,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.242.52,one-access
DI:ATAC.ZI:X.LIRT:CHILLYNEW-3,LIRT,,ATAC,ATAC,Atacv-chillynew-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:ATAC.ZI:X.RTONE:CHILLYNEW,10.42.242.52,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.242.52,one-access
DI:ATAC.ZI:X.LIRT:CHILLYNEW-4,LIRT,,ATAC,ATAC,Atacv-chillynew-Jitter64-RT,RTD,,60,,,90,30000,saa-jiti,184,,DI:ATAC.ZI:X.RTONE:CHILLYNEW,10.42.242.52,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.242.52,one-access
DI:ATAC.ZI:X.LIRT:CHILLYNEW-5,LIRT,,ATAC,ATAC,Atacv-chillynew-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jiti,136,,DI:ATAC.ZI:X.RTONE:CHILLYNEW,10.42.242.52,,DI:ATAC.ZI:X.RTCIS:SHA-MAG.L:FE0/0,172.20.130.100,128,,,,10.42.242.52,one-access
DI:ATAC.ZI:X.LIRT:CORBEIL-1,LIRT,,ATAC,,atacv-corbeil-Jitter128-D1,RTD,,100,,,2000,30000,saa-jitt,104,,DI:ATAC.ZI:X.RTCIS:CORBEIL,10.45.180.28,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.180.28,cisco
DI:ATAC.ZI:X.LIRT:CORBEIL-2,LIRT,,ATAC,,atacv-corbeil-Jitter128-D2,RTD,,100,,,2000,30000,saa-jitt,72,,DI:ATAC.ZI:X.RTCIS:CORBEIL,10.45.180.28,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.180.28,cisco
DI:ATAC.ZI:X.LIRT:CORBEIL1-1,LIRT,,ATAC,,atacv-corbeilb-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:ATAC.ZI:X.RTCIS:CORBEIL1,10.45.180.29,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.180.29,cisco
DI:ATAC.ZI:X.LIRT:CORBEIL1-2,LIRT,,ATAC,,atacv-corbeilb-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:ATAC.ZI:X.RTCIS:CORBEIL1,10.45.180.29,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.45.180.29,cisco
DI:ATAC.ZI:X.LIRT:ENTREPOT-ULIS-N-1,LIRT,,ATAC,,atacv-entrepot-ulis-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:ATAC.ZI:X.RTCIS:ENTREPOT-ULIS-N,10.46.142.4,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.46.142.4,cisco
DI:ATAC.ZI:X.LIRT:ENTREPOT-ULIS-N-2,LIRT,,ATAC,,atacv-entrepot-ulis-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:ATAC.ZI:X.RTCIS:ENTREPOT-ULIS-N,10.46.142.4,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.46.142.4,cisco
DI:ATAC.ZI:X.LIRT:ENTREPOT-ULIS-N-3,LIRT,,ATAC,,atacv-entrepot-ulis-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:ATAC.ZI:X.RTCIS:ENTREPOT-ULIS-N,10.46.142.4,,DI:ATAC.ZI:X.RTCIS:SHA-MAG,172.20.130.100,128,,,,10.46.142.4,cisco
DI:ATAC.ZI:X.LIRT:GRENOBLE-PRESTA-N-1,LIRT,,ATAC,ATAC,atacv-grenoble-presta-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:ATAC.ZI:X.RTCIS:GRENOBLE-PRESTA-N,10.48.76.188,,DI:ATAC.ZI:X.RTCIS:SALLE2-HD-NEW,172.20.130.100,128,,,,10.48.76.188,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-102,LIRT,,CAPGEM,,RTD AMSTERDAM-MUMBAI capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.172,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-103,LIRT,,CAPGEM,,RTD AMSTERDAM-KRAKOW capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.173,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-104,LIRT,,CAPGEM,,RTD AMSTERDAM-FRANKFURT capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.151,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-105,LIRT,,CAPGEM,,RTD AMSTERDAM-AMERSFOORT capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.158,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-106,LIRT,,CAPGEM,,RTD AMSTERDAM-GRONINGEN capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.159,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-107,LIRT,,CAPGEM,,RTD AMSTERDAM-VOORBURG capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.145,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-108,LIRT,,CAPGEM,,RTD AMSTERDAM-APELDOORN capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.144,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-20,LIRT,,CAPGEM,,IEL RTD PAMS2018-capg-fr-stde002-ce1 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.165,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-21,LIRT,,CAPGEM,,IEL RTD PAMS2018-PSTO1524 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.28.42,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-22,LIRT,,CAPGEM,,IEL RTD PAMS2018-PBOM1345 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.113,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PAMS2018-CONTROLNET-23,LIRT,,CAPGEM,,IEL RTD PAMS2018-PFRA2735 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PAMS2018-CONTROLNET,57.214.3.148,,,10.10.20.154,128,capgeminia2anet,,,57.214.3.148,cisco
DI:CAPGEM.ZI:X.LIRT:PBCN1826-CONTROLNET-1,LIRT,,CAPGEM,,RTD Barcelona-Madrid capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBCN1826-CONTROLNET,57.215.79.162,,,10.10.20.100,128,capgeminia2anet,,,57.215.79.162,cisco
DI:CAPGEM.ZI:X.LIRT:PBGO040-CONTROLNET-1,LIRT,,CAPGEM,,RTD BERGEN-STOCKHOLM2 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBGO040-CONTROLNET,57.215.90.6,,,10.10.20.180,128,capgeminia2anet,,,57.215.90.6,cisco
DI:CAPGEM.ZI:X.LIRT:PBHX540-CONTROLNET-1,LIRT,,CAPGEM,,RTD-Aston-Southbank-Capgeminia2anet,RTD,,70,,,2000,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBHX540-CONTROLNET,57.220.188.209,,,10.10.20.50,128,capgeminia2anet,,,57.220.188.209,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-10,LIRT,,CAPGEM,,IEL RTD PBOM1345-capg-fr-stde002-ce1 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.165,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-11,LIRT,,CAPGEM,,IEL RTD PBOM1345-PSTO1524 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.28.42,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-12,LIRT,,CAPGEM,,IEL RTD PBOM1345-PAMS2018 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.147,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-13,LIRT,,CAPGEM,,IEL RTD PBOM1345-PFRA2735 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.154,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-2,LIRT,,CAPGEM,,RTD MUMBAI-STOCKHOLM capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.28.42,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-22,LIRT,,CAPGEM,,RTD PBOM1345 - PSYD1838 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.26,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-23,LIRT,,CAPGEM,,RTD PBOM1345 - PSHA1632 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.167,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-24,LIRT,,CAPGEM,,RTD PBOM1345 -PAMS1620 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.163,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-25,LIRT,,CAPGEM,,RTD PBOM1345 -PBRU1786 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.121,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-26,LIRT,,CAPGEM,,RTD PBOM1345 - PMUC772 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.40,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-27,LIRT,,CAPGEM,,RTD PBOM1345 - PMAD1958 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.100,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-28,LIRT,,CAPGEM,,RTD PBOM1345 - PBUE1138 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.104,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-29,LIRT,,CAPGEM,,RTD PBOM1345 - PSTO1348 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.28.42,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-30,LIRT,,CAPGEM,,RTD PBOM1345 - PBLR940 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.24,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-31,LIRT,,CAPGEM,,RTD PBOM1345 - PCHI716 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.114,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-32,LIRT,,CAPGEM,,RTD PBOM1345 - PNYC1768 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.115,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-33,LIRT,,CAPGEM,,RTD PBOM1345 - PMIL1451 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.175,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-34,LIRT,,CAPGEM,,RTD PBOM1345 - PXWO043 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.75,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-35,LIRT,,CAPGEM,,RTD PBOM1345 - PLON3827 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.50,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-36,LIRT,,CAPGEM,,RTD PBOM1345 - PCPH847 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.183,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-37,LIRT,,CAPGEM,,RTD PBOM1345 - capg-fr-stde002-ce1 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.112,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBOM1345-CONTROLNET-38,LIRT,,CAPGEM,,RTD PBOM1345 - PKRK2026 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBOM1345-CONTROLNET,57.214.115.189,,,10.10.20.155,128,capgeminia2anet,,,57.214.115.189,cisco
DI:CAPGEM.ZI:X.LIRT:PBRS253-CONTROLNET-14,LIRT,,CAPGEM,,JITTER-Toltec-Southbank-vpn14,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRS253-CONTROLNET,57.220.209.129,,,10.10.20.72,128,capgemini_bb_misentuki_14_tpc,,,57.220.209.129,cisco
DI:CAPGEM.ZI:X.LIRT:PBRS253-CONTROLNET-2,LIRT,,CAPGEM,,RTD -Toltec-Southbank-capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRS253-CONTROLNET,57.220.209.129,,,10.10.20.50,128,capgeminia2anet,,,57.220.209.129,cisco
DI:CAPGEM.ZI:X.LIRT:PBRS285-CONTROLNET-1,LIRT,,CAPGEM,,RTD Swansea-Southbank-Capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRS285-CONTROLNET,57.220.208.68,,,10.10.20.50,128,capgeminia2anet,,,57.220.208.68,cisco
DI:CAPGEM.ZI:X.LIRT:PBRS291-CONTROLNET-1,LIRT,,CAPGEM,,RTD-Llanwern-Southbank-Corusuki,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRS291-CONTROLNET,57.220.208.22,,,10.10.20.66,128,,,,57.220.208.22,cisco
DI:CAPGEM.ZI:X.LIRT:PBRS292-CONTROLNET-1,LIRT,,CAPGEM,,RTD-Port Talbot -Southbank Corusuki,RTD,,70,,,2000,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRS292-CONTROLNET,57.220.208.62,,,10.10.20.66,128,,,,57.220.208.62,cisco
DI:CAPGEM.ZI:X.LIRT:PBRU1786-1,LIRT,,CAPGEM,,RTD Diegem - Utrecht ITICSBNL,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRU1786,57.220.243.49,,,10.10.20.170,128,capgeminia2anet,,,57.220.243.49,cisco
DI:CAPGEM.ZI:X.LIRT:PBRU1786-2,LIRT,,CAPGEM,,RTD Diegem - AMSTERDAM capgeminia2anet,RTD,,70,,,2000,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRU1786,57.220.243.49,,,10.10.20.149,128,capgeminia2anet,,,57.220.243.49,cisco
DI:CAPGEM.ZI:X.LIRT:PBRU2726-CONTROLNET-1,LIRT,,CAPGEM,,RTD Brussels-Hyderabad capgemini-bb-mclientfs-64-tpc,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBRU2726-CONTROLNET,57.215.113.32,,,10.10.20.178,128,capgemini_bb_mclientfs_64_tpc,,,57.215.113.32,cisco
DI:CAPGEM.ZI:X.LIRT:PBSH063-CONTROLNET-1,LIRT,,CAPGEM,,RTD Worthing-Southbank-Capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PBSH063-CONTROLNET,57.220.209.26,,,10.10.20.50,128,capgeminia2anet,,,57.220.209.26,cisco
DI:CAPGEM.ZI:X.LIRT:PCCU108-CONTROLNET-1,LIRT,,CAPGEM,,RTD KOLKATTA-STOCKHOLM CAPGEMINIA2ANET,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PCCU108-CONTROLNET,57.220.79.79,,,10.10.20.166,128,capgeminia2anet,,,57.220.79.79,cisco
DI:CAPGEM.ZI:X.LIRT:PCCU108-CONTROLNET-2,LIRT,,CAPGEM,,RTD PCCU108-PSTO1348 capgeminia2anet,RTD,,60,,,90,30000,saa-jitt,104,,DI:CAPGEM.ZI:X.RTCIS:PCCU108-CONTROLNET,57.220.79.79,,,10.10.28.42,128,capgeminia2anet,,,57.220.79.79,cisco
